Close	Date	Sentiment_fin_V	Sentiment_fin_F2	Open
2809.209961	2018-10-17	-0.06756756757	-0.1216216216	2811.669922
2768.780029	2018-10-18	-0.01333333333	-0.04	2802
2767.780029	2018-10-19	-0.07936507937	-0.1111111111	2775.659912
2755.879883	2018-10-22	-0.01149425287	-0.06534695615	2773.939941
2740.689941	2018-10-23	0	0	2721.030029
2656.100098	2018-10-24	0.01333333333	-0.2666666667	2737.870117
2705.570068	2018-10-25	0.1359223301	-0.03883495146	2674.879883
2658.689941	2018-10-26	-0.05263157895	-0.1578947368	2667.860107
2641.25	2018-10-29	0.1216161616	-0.06202020202	2682.649902
2682.629883	2018-10-30	0.08064516129	-0.08064516129	2640.679932
2711.73999	2018-10-31	0.06	-0.14	2705.600098
2740.370117	2018-11-01	-0.0447761194	0.01492537313	2717.580078
2723.060059	2018-11-02	-0.01694915254	-0.05084745763	2745.449951
2738.310059	2018-11-05	-0.06234567901	-0.1783950617	2726.370117
2755.449951	2018-11-06	0.01587301587	-0.1746031746	2738.399902
2813.889893	2018-11-07	0.1041666667	0.0625	2774.129883
2806.830078	2018-11-08	0.03370786517	-0.1460674157	2806.379883
2781.01001	2018-11-09	-0.0701754386	-0.1754385965	2794.100098
2726.219971	2018-11-12	-0.08264046359	-0.3124212648	2773.929932
2722.179932	2018-11-13	-0.1641791045	-0.1641791045	2730.050049
2701.580078	2018-11-14	-0.1081081081	-0.1621621622	2737.899902
2730.199951	2018-11-15	-0.152173913	-0.1739130435	2693.52002
2736.27002	2018-11-16	-0.07407407407	-0.1296296296	2718.540039
2690.72998	2018-11-19	0.1278846154	-0.1019230769	2730.73999
2641.889893	2018-11-20	0.05405405405	-0.1621621622	2654.600098
2649.929932	2018-11-21	-0.1206896552	-0.1379310345	2657.73999
2632.560059	2018-11-23	-0.07815934066	-0.2391483516	2633.360107
2673.449951	2018-11-26	-0.0119047619	0.02678571429	2649.969971
2682.169922	2018-11-27	0.02816901408	-0.1267605634	2663.75
2743.790039	2018-11-28	-0.1428571429	-0.25	2691.449951
2737.800049	2018-11-29	-0.1842105263	-0.1842105263	2736.969971
2760.169922	2018-11-30	0.02469135802	-0.0987654321	2737.76001
2790.370117	2018-12-03	-0.01696969697	-0.04786324786	2790.5
2700.060059	2018-12-04	-0.025	-0.2	2782.429932
2695.949951	2018-12-06	-0.07815193656	-0.1422250316	2663.51001
2633.080078	2018-12-07	-0.1948051948	-0.2077922078	2691.26001
2637.719971	2018-12-10	-0.2132936508	-0.2242063492	2630.860107
2636.780029	2018-12-11	-0.2586206897	-0.2413793103	2664.439941
2651.070068	2018-12-12	-0.01666666667	-0.06666666667	2658.22998
2650.540039	2018-12-13	-0.08	-0.1733333333	2658.699951
2599.949951	2018-12-14	0	0.01408450704	2629.679932
2545.939941	2018-12-17	-0.1155913978	-0.1547192354	2590.75
2546.159912	2018-12-18	-0.1506849315	-0.301369863	2559.899902
2506.959961	2018-12-19	-0.0487804878	-0.1463414634	2547.050049
2467.419922	2018-12-20	0.06024096386	-0.03614457831	2496.77002
2416.620117	2018-12-21	0.05970149254	-0.223880597	2465.379883
2351.100098	2018-12-24	-0.1432412449	-0.1607851045	2400.560059
2467.699951	2018-12-26	-0.1923076923	-0.07943143813	2363.120117
2488.830078	2018-12-27	0.1086956522	-0.04347826087	2442.5
2485.73999	2018-12-28	0	-0.09523809524	2498.77002
2506.850098	2018-12-31	-0.02666666667	-0.09333333333	2498.939941
2510.030029	2019-01-02	-0.0625	-0.2291666667	2476.959961
2447.889893	2019-01-03	-0.2075471698	-0.4150943396	2491.919922
2531.939941	2019-01-04	-0.1403508772	-0.0350877193	2474.330078
2549.689941	2019-01-07	-0.1481481481	-0.184303351	2535.610107
2574.409912	2019-01-08	0.1162790698	0	2568.110107
2584.959961	2019-01-09	-0.1343283582	-0.1343283582	2580
2596.639893	2019-01-10	-0.02941176471	-0.137254902	2573.51001
2596.26001	2019-01-11	-0.02985074627	-0.1343283582	2588.110107
2582.610107	2019-01-14	-0.03437418683	-0.1322404372	2580.310059
2610.300049	2019-01-15	0.1369863014	0.05479452055	2585.100098
2616.100098	2019-01-16	-0.02816901408	-0.1267605634	2614.75
2635.959961	2019-01-17	0.01449275362	-0.2463768116	2609.280029
2670.709961	2019-01-18	-0.01470588235	-0.25	2651.27002
2632.899902	2019-01-22	-0.05347054076	-0.1044188862	2657.879883
2638.699951	2019-01-23	-0.08333333333	-0.03571428571	2643.47998
2642.330078	2019-01-24	-0.01234567901	-0.03703703704	2638.840088
2664.76001	2019-01-25	0.04225352113	-0.02816901408	2657.439941
2643.850098	2019-01-28	-0.08426643698	-0.2111815833	2644.969971
2640	2019-01-29	0.06944444444	-0.2222222222	2644.889893
2681.050049	2019-01-30	0.05555555556	-0.125	2653.620117
2704.100098	2019-01-31	0.07142857143	-0.07142857143	2685.48999
2706.530029	2019-02-01	0.03174603175	-0.01587301587	2702.320068
